SpineBase.x,SpineBase.y,SpineBase.z,state,SpineMid.x,SpineMid.y,SpineMid.z,state,SpineShoulder.x,SpineShoulder.y,SpineShoulder.z,state,Neck.x,Neck.y,Neck.z,state,Head.x,Head.y,Head.z,state,ShoulderLeft.x,ShoulderLeft.y,ShoulderLeft.z,state,ElbowLeft.x,ElbowLeft.y,ElbowLeft.z,state,WristLeft.x,WristLeft.y,WristLeft.z,state,HandLeft.x,HandLeft.y,HandLeft.z,state,HandTipLeft.x,HandTipLeft.y,HandTipLeft.z,state,ThumbLeft.x,ThumbLeft.y,ThumbLeft.z,state,ShoulderRight.x,ShoulderRight.y,ShoulderRight.z,state,ElbowRight.x,ElbowRight.y,ElbowRight.z,state,WristRight.x,WristRight.y,WristRight.z,state,HandRight.x,HandRight.y,HandRight.z,state,HandTipRight.x,HandTipRight.y,HandTipRight.z,state,ThumbRight.x,ThumbRight.y,ThumbRight.z,state,HipLeft.x,HipLeft.y,HipLeft.z,state,KneeLeft.x,KneeLeft.y,KneeLeft.z,state,AnkleLeft.x,AnkleLeft.y,AnkleLeft.z,state,FootLeft.x,FootLeft.y,FootLeft.z,state,HipRight.x,HipRight.y,HipRight.z,state,KneeRight.x,KneeRight.y,KneeRight.z,state,AnkleRight.x,AnkleRight.y,AnkleRight.z,state,FootRight.x,FootRight.y,FootRight.z,state
-0.195721,-0.409218,1.91587,tracked,-0.246278,-0.0993515,1.8861,tracked,-0.28456,0.127638,1.85615,tracked,-0.296746,0.201658,1.84317,tracked,-0.306532,0.329412,1.82563,tracked,-0.416839,0.0757587,1.75532,tracked,-0.479276,-0.0447885,1.63311,tracked,-0.573663,-0.0190726,1.45744,tracked,-0.565613,-0.0152021,1.4664,tracked,-0.626663,-0.056343,1.41012,tracked,-0.619053,0.000640582,1.46256,tracked,-0.115578,0.156437,1.86052,tracked,0.00966881,0.074484,1.71851,tracked,-0.158147,0.0604972,1.58333,tracked,-0.223801,0.0336792,1.54807,tracked,-0.266828,0.00878821,1.54016,tracked,-0.220259,-0.0298799,1.53636,tracked,-0.265673,-0.415783,1.85947,tracked,-0.280483,-0.733337,1.89066,tracked,-0.251623,-1.03638,2.03049,tracked,-0.205122,-1.10184,1.94011,tracked,-0.119049,-0.38842,1.90417,tracked,-0.0564859,-0.709772,1.8842,tracked,-0.00509137,-1.01415,2.0152,tracked,0.0428769,-1.07285,1.91981,tracked
-0.198112,-0.40946,1.91418,tracked,-0.247373,-0.0992485,1.88533,tracked,-0.284726,0.127796,1.85585,tracked,-0.296758,0.201821,1.84293,tracked,-0.311026,0.330774,1.82763,tracked,-0.417974,0.0741147,1.75605,tracked,-0.497482,0.0299087,1.58217,tracked,-0.564269,-0.0838847,1.49281,inferred,-0.575634,-0.0223824,1.46205,tracked,-0.630411,-0.0531111,1.4103,tracked,-0.624901,0.00242863,1.46159,tracked,-0.115654,0.156258,1.86063,tracked,0.00923839,0.0745432,1.71893,tracked,-0.157798,0.0579741,1.58303,tracked,-0.221556,0.0344311,1.54323,tracked,-0.263715,0.00796991,1.53762,tracked,-0.21447,-0.0290551,1.52645,tracked,-0.267895,-0.415999,1.85775,tracked,-0.281786,-0.73396,1.89027,tracked,-0.251763,-1.03658,2.03073,tracked,-0.205247,-1.10215,1.94052,tracked,-0.121424,-0.388607,1.90262,tracked,-0.0581631,-0.709494,1.88343,tracked,-0.00620611,-1.01238,2.01733,tracked,0.0418635,-1.07195,1.92294,tracked
-0.201532,-0.409848,1.91125,tracked,-0.252653,-0.0995505,1.88449,tracked,-0.290779,0.127605,1.85673,tracked,-0.30297,0.201651,1.84447,tracked,-0.313707,0.330172,1.82825,tracked,-0.423016,0.0715881,1.75784,tracked,-0.486223,-0.0342809,1.63702,tracked,-0.536786,-0.0184901,1.48283,tracked,-0.583373,-0.0104874,1.45612,tracked,-0.637205,-0.0461086,1.39536,tracked,-0.633244,0.0036692,1.464,tracked,-0.119835,0.155986,1.85841,tracked,0.00911799,0.0743801,1.71811,tracked,-0.140936,0.0706934,1.58098,tracked,-0.219175,0.0393018,1.53269,tracked,-0.262383,0.0116933,1.52786,tracked,-0.210094,-0.0244895,1.51321,tracked,-0.271283,-0.416567,1.85525,tracked,-0.282947,-0.734539,1.8898,tracked,-0.252065,-1.03703,2.03036,tracked,-0.206694,-1.10325,1.94023,tracked,-0.124707,-0.388717,1.89933,tracked,-0.0589355,-0.709882,1.88298,tracked,-0.00732199,-1.01271,2.0171,tracked,0.0394687,-1.07316,1.92281,tracked
-0.203901,-0.409901,1.91121,tracked,-0.257254,-0.0984757,1.88572,tracked,-0.296459,0.129875,1.85916,tracked,-0.308893,0.204345,1.84733,tracked,-0.318748,0.333285,1.8317,tracked,-0.4291,0.0706974,1.7605,tracked,-0.487519,-0.0347429,1.63925,tracked,-0.566417,-0.0457056,1.49824,tracked,-0.593935,-0.0100003,1.45885,tracked,-0.644517,-0.0414319,1.39383,tracked,-0.627274,0.0119225,1.45788,tracked,-0.127631,0.157378,1.86027,tracked,-0.0243704,0.0910757,1.67418,tracked,-0.178752,0.0947903,1.54899,tracked,-0.220636,0.0449759,1.52729,tracked,-0.258598,0.0164579,1.5207,tracked,-0.207906,-0.0121352,1.50835,tracked,-0.273534,-0.416671,1.85518,tracked,-0.284082,-0.735463,1.89005,tracked,-0.252547,-1.03787,2.03065,tracked,-0.207175,-1.1043,1.94082,tracked,-0.127098,-0.388692,1.89935,tracked,-0.0603068,-0.710034,1.88268,tracked,-0.00840453,-1.01247,2.0175,tracked,0.0384267,-1.07334,1.92372,tracked
-0.206223,-0.41036,1.90965,tracked,-0.260418,-0.0983213,1.88524,tracked,-0.300003,0.130457,1.85942,tracked,-0.312531,0.205059,1.84783,tracked,-0.319987,0.33377,1.83178,tracked,-0.432209,0.0686489,1.7618,tracked,-0.507912,0.0323053,1.58504,tracked,-0.581555,-0.0683251,1.48508,inferred,-0.600717,-0.0131361,1.45195,tracked,-0.645003,-0.0389488,1.39,tracked,-0.635846,0.0136893,1.45523,tracked,-0.129568,0.157826,1.86083,tracked,-0.0268866,0.0953736,1.67303,tracked,-0.187365,0.0700396,1.53043,tracked,-0.215252,0.0560438,1.51311,tracked,-0.255113,0.0294407,1.50778,tracked,-0.201249,0.00307545,1.48868,tracked,-0.275535,-0.417235,1.85424,tracked,-0.285921,-0.736154,1.89049,tracked,-0.253323,-1.03785,2.03227,tracked,-0.208005,-1.10478,1.94306,tracked,-0.129705,-0.388967,1.89707,tracked,-0.0620776,-0.710367,1.88238,tracked,-0.00889484,-1.01237,2.01766,tracked,0.0379275,-1.07342,1.92408,tracked
-0.20913,-0.411175,1.90959,tracked,-0.263105,-0.0979069,1.88558,tracked,-0.302327,0.131678,1.85991,tracked,-0.314733,0.206542,1.84837,tracked,-0.3232,0.335394,1.83246,tracked,-0.4361,0.0677261,1.76304,tracked,-0.508106,0.0323698,1.58498,tracked,-0.575104,-0.0269902,1.45019,tracked,-0.595114,-0.00507587,1.4605,tracked,-0.65005,-0.0411043,1.40719,tracked,-0.637887,0.0161259,1.45504,tracked,-0.133524,0.154429,1.86288,tracked,-0.028676,0.134918,1.67745,tracked,-0.181701,0.0767726,1.53618,tracked,-0.215165,0.0646202,1.51168,tracked,-0.247014,0.0367148,1.49738,tracked,-0.201186,0.0206164,1.47515,tracked,-0.278628,-0.418097,1.85433,tracked,-0.287087,-0.736769,1.89078,tracked,-0.253681,-1.03805,2.03321,tracked,-0.20783,-1.10498,1.94437,tracked,-0.132303,-0.3897,1.89693,tracked,-0.0639168,-0.710163,1.88196,tracked,-0.00971949,-1.01118,2.01887,tracked,0.0377746,-1.07245,1.926,tracked
-0.211557,-0.412343,1.90871,tracked,-0.26312,-0.0982837,1.88512,tracked,-0.300657,0.131183,1.8589,tracked,-0.311908,0.205986,1.84701,tracked,-0.325804,0.336128,1.83356,tracked,-0.435734,0.0676437,1.76293,tracked,-0.507726,0.0327821,1.58632,tracked,-0.571547,-0.0238264,1.4486,tracked,-0.597695,-0.00226959,1.45635,tracked,-0.651463,-0.0366624,1.40086,tracked,-0.642736,0.0201974,1.46156,tracked,-0.130318,0.15116,1.86446,tracked,-0.0271271,0.136116,1.67697,tracked,-0.179598,0.0814452,1.53362,tracked,-0.209386,0.0752108,1.50058,tracked,-0.239076,0.0475584,1.48699,tracked,-0.191962,0.0395764,1.4598,tracked,-0.281203,-0.419128,1.85357,tracked,-0.288242,-0.737907,1.89142,tracked,-0.253843,-1.0393,2.03343,tracked,-0.207441,-1.10564,1.94419,tracked,-0.13448,-0.390946,1.89601,tracked,-0.0652225,-0.710875,1.88164,tracked,-0.00918861,-1.01095,2.01977,tracked,0.0391086,-1.07198,1.92723,tracked
-0.214419,-0.412635,1.90584,tracked,-0.266796,-0.0981,1.88393,tracked,-0.30497,0.131876,1.85903,tracked,-0.316858,0.206894,1.84769,tracked,-0.327341,0.336674,1.83338,tracked,-0.441333,0.0691824,1.76234,tracked,-0.5077,0.0331174,1.58638,tracked,-0.568876,-0.021526,1.4465,tracked,-0.600113,0.000597752,1.45144,tracked,-0.652374,-0.033029,1.39471,tracked,-0.646677,0.025076,1.46206,tracked,-0.133506,0.149245,1.86462,tracked,-0.0263545,0.12135,1.67093,tracked,-0.181439,0.083209,1.525,tracked,-0.204341,0.0824518,1.49314,tracked,-0.232329,0.0537928,1.47756,tracked,-0.183575,0.0645394,1.45191,tracked,-0.284278,-0.419297,1.85129,tracked,-0.289218,-0.738211,1.89096,tracked,-0.253503,-1.0399,2.03213,tracked,-0.206809,-1.10602,1.94283,tracked,-0.137025,-0.391339,1.8925,tracked,-0.067794,-0.710254,1.88008,tracked,-0.00993691,-1.00964,2.01891,tracked,0.0389456,-1.07077,1.92691,tracked
-0.217497,-0.412761,1.90396,tracked,-0.270415,-0.0976422,1.88311,tracked,-0.308731,0.132864,1.85912,tracked,-0.32075,0.208054,1.84809,tracked,-0.328633,0.337605,1.83333,tracked,-0.445543,0.0701324,1.76228,tracked,-0.504427,-0.0248944,1.62811,tracked,-0.552562,-0.000804264,1.47425,tracked,-0.597948,0.00765096,1.45489,tracked,-0.653367,-0.0286044,1.39547,tracked,-0.656353,0.0267724,1.45618,tracked,-0.135369,0.14931,1.86596,tracked,-0.0266466,0.123091,1.67294,tracked,-0.17957,0.0854813,1.52448,tracked,-0.202606,0.0853344,1.49338,tracked,-0.232086,0.0599854,1.47768,tracked,-0.190757,0.0353338,1.46592,tracked,-0.287621,-0.41921,1.84954,tracked,-0.290304,-0.738247,1.89072,tracked,-0.252465,-1.04023,2.03086,tracked,-0.205112,-1.10573,1.94124,tracked,-0.139718,-0.391644,1.89056,tracked,-0.0695411,-0.709837,1.87836,tracked,-0.0105946,-1.00863,2.01795,tracked,0.0388496,-1.06984,1.92648,tracked
-0.219106,-0.412905,1.90346,tracked,-0.27306,-0.0977297,1.88321,tracked,-0.312034,0.132892,1.85991,tracked,-0.32429,0.208101,1.84916,tracked,-0.33159,0.337968,1.83498,tracked,-0.44867,0.0706115,1.76324,tracked,-0.519354,0.0330203,1.58498,tracked,-0.568199,-0.0197404,1.43913,tracked,-0.603091,0.00695275,1.45604,tracked,-0.659728,-0.0281449,1.40215,tracked,-0.654127,0.0261878,1.45607,tracked,-0.137337,0.147079,1.86776,tracked,-0.0280882,0.12289,1.67479,tracked,-0.178176,0.0930285,1.52154,tracked,-0.201033,0.0869587,1.49431,tracked,-0.231163,0.0626446,1.47797,tracked,-0.18835,0.0440141,1.46074,tracked,-0.2897,-0.419444,1.84903,tracked,-0.291366,-0.739246,1.89134,tracked,-0.253268,-1.04041,2.033,tracked,-0.205564,-1.10646,1.94435,tracked,-0.140854,-0.39171,1.89012,tracked,-0.0701515,-0.710125,1.87823,tracked,-0.0123088,-1.00822,2.01956,tracked,0.0372719,-1.07023,1.92917,tracked
