SpineBase.x,SpineBase.y,SpineBase.z,state,SpineMid.x,SpineMid.y,SpineMid.z,state,SpineShoulder.x,SpineShoulder.y,SpineShoulder.z,state,Neck.x,Neck.y,Neck.z,state,Head.x,Head.y,Head.z,state,ShoulderLeft.x,ShoulderLeft.y,ShoulderLeft.z,state,ElbowLeft.x,ElbowLeft.y,ElbowLeft.z,state,WristLeft.x,WristLeft.y,WristLeft.z,state,HandLeft.x,HandLeft.y,HandLeft.z,state,HandTipLeft.x,HandTipLeft.y,HandTipLeft.z,state,ThumbLeft.x,ThumbLeft.y,ThumbLeft.z,state,ShoulderRight.x,ShoulderRight.y,ShoulderRight.z,state,ElbowRight.x,ElbowRight.y,ElbowRight.z,state,WristRight.x,WristRight.y,WristRight.z,state,HandRight.x,HandRight.y,HandRight.z,state,HandTipRight.x,HandTipRight.y,HandTipRight.z,state,ThumbRight.x,ThumbRight.y,ThumbRight.z,state,HipLeft.x,HipLeft.y,HipLeft.z,state,KneeLeft.x,KneeLeft.y,KneeLeft.z,state,AnkleLeft.x,AnkleLeft.y,AnkleLeft.z,state,FootLeft.x,FootLeft.y,FootLeft.z,state,HipRight.x,HipRight.y,HipRight.z,state,KneeRight.x,KneeRight.y,KneeRight.z,state,AnkleRight.x,AnkleRight.y,AnkleRight.z,state,FootRight.x,FootRight.y,FootRight.z,state
-0.239169,-0.4316,1.66407,tracked,-0.279872,-0.122478,1.66814,tracked,-0.307611,0.10335,1.66172,tracked,-0.315866,0.176696,1.65656,tracked,-0.344598,0.316482,1.64601,tracked,-0.440555,0.0731572,1.57273,tracked,-0.49924,-0.0402172,1.43761,tracked,-0.586901,0.0138817,1.28268,inferred,-0.648362,0.0205779,1.24402,tracked,-0.673429,0.0136019,1.19898,tracked,-0.611813,-0.00410248,1.20795,tracked,-0.118904,0.102687,1.69804,tracked,-0.0131296,-0.0822705,1.69014,tracked,-0.0159056,-0.25384,1.55886,tracked,-0.0285002,-0.334526,1.50083,tracked,-0.0514268,-0.377101,1.45371,tracked,-0.0936438,-0.343763,1.55929,tracked,-0.306363,-0.430427,1.60782,tracked,-0.307018,-0.738118,1.67676,tracked,-0.264812,-0.984541,1.81793,tracked,-0.282405,-1.0584,1.79887,inferred,-0.161517,-0.4163,1.65179,tracked,-0.0901551,-0.689274,1.63565,tracked,-0.0190222,-0.976545,1.79117,tracked,0.0422368,-1.03768,1.71336,inferred
-0.238982,-0.431663,1.66393,tracked,-0.279131,-0.122661,1.66776,tracked,-0.306407,0.103031,1.66126,tracked,-0.314542,0.176336,1.65606,tracked,-0.340723,0.316579,1.64426,tracked,-0.440579,0.0731893,1.57348,tracked,-0.500236,-0.037514,1.43731,tracked,-0.629002,-0.0077917,1.26618,inferred,-0.646145,0.0224173,1.24391,tracked,-0.672344,0.0163894,1.19627,tracked,-0.610002,-0.00422395,1.20514,tracked,-0.116098,0.10215,1.69501,tracked,-0.010182,-0.0827612,1.68624,tracked,-0.0108549,-0.256286,1.55771,tracked,-0.0205281,-0.334993,1.49401,tracked,-0.0460664,-0.376369,1.44759,tracked,-0.0803967,-0.341465,1.51312,tracked,-0.306534,-0.430523,1.60804,tracked,-0.306812,-0.737212,1.67633,tracked,-0.265004,-0.98241,1.8157,tracked,-0.284014,-1.05617,1.79423,inferred,-0.160364,-0.416238,1.65088,tracked,-0.0897844,-0.688567,1.63524,tracked,-0.0151552,-0.974814,1.79105,tracked,0.0485444,-1.02062,1.78949,inferred
-0.238559,-0.431985,1.66383,tracked,-0.277928,-0.123019,1.66742,tracked,-0.304548,0.102696,1.66082,tracked,-0.312498,0.176027,1.65557,tracked,-0.336452,0.316466,1.64269,tracked,-0.440342,0.0723833,1.57451,tracked,-0.504516,0.0306889,1.38935,tracked,-0.608073,0.0203966,1.26673,tracked,-0.646362,0.0253912,1.2458,tracked,-0.674672,0.014312,1.2027,tracked,-0.594321,0.0100845,1.20975,tracked,-0.111606,0.101255,1.6915,tracked,-0.00821127,-0.0851779,1.67918,tracked,-0.0100565,-0.260059,1.55266,tracked,-0.0302295,-0.333152,1.48662,tracked,-0.0558242,-0.377645,1.44442,tracked,-0.0917079,-0.321845,1.56,tracked,-0.306677,-0.430882,1.60869,tracked,-0.306601,-0.737293,1.6766,tracked,-0.264774,-0.984113,1.81646,tracked,-0.283941,-1.05794,1.79352,inferred,-0.158847,-0.416723,1.64987,tracked,-0.0886081,-0.68816,1.63527,tracked,-0.0144902,-0.974369,1.79136,tracked,0.0448523,-1.03662,1.71299,inferred
-0.237502,-0.432557,1.66349,tracked,-0.274864,-0.122992,1.66723,tracked,-0.299395,0.103552,1.66108,tracked,-0.306613,0.177239,1.65601,tracked,-0.329863,0.315716,1.64009,tracked,-0.439576,0.0718602,1.57478,tracked,-0.504322,0.0310071,1.38808,tracked,-0.608165,0.019901,1.2658,tracked,-0.642337,0.0263053,1.24449,tracked,-0.67413,0.0144114,1.20411,tracked,-0.60191,0.00504315,1.21339,tracked,-0.105564,0.100392,1.68646,tracked,-0.00501629,-0.0875368,1.67506,tracked,-0.0136327,-0.259134,1.5441,tracked,-0.0494177,-0.324387,1.48281,tracked,-0.0784399,-0.374516,1.44113,tracked,-0.101777,-0.302648,1.56148,tracked,-0.306449,-0.431277,1.60912,tracked,-0.305835,-0.736451,1.67631,tracked,-0.264693,-0.990875,1.81652,tracked,-0.288191,-1.0636,1.78919,inferred,-0.156705,-0.417337,1.64846,tracked,-0.0822923,-0.698134,1.63914,tracked,-0.00832651,-0.983502,1.79655,tracked,0.0492645,-1.0472,1.71875,inferred
-0.236134,-0.432828,1.66434,tracked,-0.271718,-0.122005,1.66901,tracked,-0.294955,0.105841,1.66381,tracked,-0.301827,0.179991,1.65905,tracked,-0.32582,0.316463,1.64076,tracked,-0.438923,0.0717562,1.57523,tracked,-0.503659,0.0333443,1.38772,tracked,-0.608069,0.019232,1.2663,tracked,-0.644123,0.0273538,1.25008,tracked,-0.676437,0.014988,1.20791,tracked,-0.612961,-0.00612841,1.20637,tracked,-0.102222,0.100303,1.6875,tracked,-0.00327774,-0.088484,1.67479,tracked,-0.0183381,-0.257956,1.54151,tracked,-0.0712009,-0.329984,1.47404,tracked,-0.0953814,-0.388191,1.45319,tracked,-0.113929,-0.309214,1.53745,tracked,-0.305406,-0.43135,1.61074,tracked,-0.305418,-0.735345,1.67702,tracked,-0.264793,-0.992245,1.8167,tracked,-0.290632,-1.06394,1.78023,inferred,-0.15546,-0.417631,1.64908,tracked,-0.0824621,-0.69722,1.6393,tracked,-0.0096786,-0.949261,1.78306,tracked,0.050298,-1.01258,1.70677,inferred
-0.234748,-0.432995,1.66454,tracked,-0.270325,-0.122214,1.66863,tracked,-0.293765,0.105435,1.66297,tracked,-0.300703,0.179486,1.658,tracked,-0.318353,0.316987,1.63903,tracked,-0.438197,0.0715136,1.57533,tracked,-0.50038,0.0360079,1.38708,tracked,-0.607297,0.0197131,1.26839,tracked,-0.644923,0.0329746,1.25164,tracked,-0.676928,0.0177648,1.20995,tracked,-0.612733,0.00602171,1.2166,tracked,-0.0956659,0.100079,1.68537,tracked,0.0018301,-0.0894643,1.6708,tracked,-0.0309288,-0.253216,1.53332,tracked,-0.0731859,-0.297114,1.49504,tracked,-0.100397,-0.348871,1.43197,tracked,-0.116392,-0.309036,1.4575,tracked,-0.304479,-0.431295,1.61138,tracked,-0.30491,-0.734555,1.67739,tracked,-0.263943,-0.998571,1.81999,tracked,-0.295214,-1.06693,1.77439,inferred,-0.154049,-0.417906,1.64907,tracked,-0.0821791,-0.695177,1.6385,tracked,-0.00968709,-0.976222,1.79235,tracked,0.0466879,-1.04054,1.71398,inferred
-0.232907,-0.432959,1.6646,tracked,-0.264726,-0.120951,1.66868,tracked,-0.285001,0.107797,1.66298,tracked,-0.290885,0.18222,1.65796,tracked,-0.311758,0.317906,1.63769,tracked,-0.429738,0.0736232,1.5779,tracked,-0.496456,0.0390992,1.38691,tracked,-0.605943,0.0214833,1.27103,tracked,-0.641235,0.0361753,1.25399,tracked,-0.671284,0.0239587,1.2114,tracked,-0.608337,0.00913474,1.22195,tracked,-0.0905815,0.100119,1.68319,tracked,0.00675242,-0.0895061,1.66532,tracked,-0.0368774,-0.250471,1.52753,tracked,-0.0820545,-0.292182,1.48992,tracked,-0.112517,-0.34404,1.42951,tracked,-0.130405,-0.262413,1.54091,tracked,-0.303092,-0.43095,1.61213,tracked,-0.304178,-0.733629,1.67791,tracked,-0.263729,-0.998176,1.82025,tracked,-0.295438,-1.06681,1.77721,inferred,-0.152084,-0.418091,1.64867,tracked,-0.0815315,-0.693686,1.63812,tracked,-0.0096123,-0.977611,1.79307,tracked,0.0162175,-1.04835,1.7421,inferred
-0.230275,-0.433279,1.66545,tracked,-0.259908,-0.119948,1.66956,tracked,-0.279047,0.109766,1.66373,tracked,-0.284656,0.18449,1.65865,tracked,-0.307719,0.318902,1.63785,tracked,-0.427063,0.0705224,1.58049,tracked,-0.494511,0.0410997,1.38775,tracked,-0.604533,0.0228998,1.27252,tracked,-0.636578,0.0374064,1.25401,tracked,-0.667633,0.0264015,1.21198,tracked,-0.600018,0.012108,1.22231,tracked,-0.0873156,0.100812,1.68356,tracked,0.00811065,-0.0897514,1.66403,tracked,-0.0401064,-0.249247,1.52603,tracked,-0.0884478,-0.289459,1.49136,tracked,-0.12085,-0.34568,1.43505,tracked,-0.135285,-0.270291,1.5355,tracked,-0.300989,-0.431222,1.61351,tracked,-0.303298,-0.732919,1.6791,tracked,-0.262185,-0.999767,1.82415,tracked,-0.301172,-1.06483,1.7804,inferred,-0.149379,-0.41832,1.64925,tracked,-0.0807078,-0.69224,1.63872,tracked,-0.0101887,-0.964945,1.78884,tracked,-0.00385701,-0.894773,1.68332,inferred
-0.227641,-0.433217,1.66593,tracked,-0.255676,-0.11924,1.66946,tracked,-0.274036,0.110738,1.66308,tracked,-0.279436,0.18552,1.6578,tracked,-0.300641,0.319354,1.63621,tracked,-0.422481,0.0700239,1.5808,tracked,-0.49349,0.0419751,1.38739,tracked,-0.602646,0.0230083,1.27136,tracked,-0.629782,0.0356706,1.24855,tracked,-0.659451,0.0243063,1.207,tracked,-0.603142,0.00648721,1.21631,tracked,-0.0819667,0.101117,1.68128,tracked,0.0141594,-0.0889098,1.65592,tracked,-0.0433556,-0.247214,1.52023,tracked,-0.0944322,-0.284402,1.48549,tracked,-0.130713,-0.340499,1.43928,tracked,-0.102171,-0.353245,1.47044,tracked,-0.298627,-0.431112,1.6148,tracked,-0.302148,-0.732202,1.6797,tracked,-0.260319,-0.99835,1.82423,tracked,-0.298768,-1.06387,1.78131,inferred,-0.146746,-0.418215,1.64918,tracked,-0.0797463,-0.690738,1.6381,tracked,-0.0128933,-0.977825,1.79552,tracked,0.0229615,-0.879122,1.74105,tracked
-0.224471,-0.433262,1.66698,tracked,-0.251953,-0.118562,1.66974,tracked,-0.270121,0.11178,1.66278,tracked,-0.275476,0.18667,1.65729,tracked,-0.295123,0.319143,1.63517,tracked,-0.416433,0.0692523,1.58005,tracked,-0.49194,0.0424868,1.38724,tracked,-0.600335,0.0224372,1.27059,tracked,-0.627041,0.0327361,1.25013,tracked,-0.656331,0.021874,1.20764,tracked,-0.594859,0.0028756,1.2125,tracked,-0.0775729,0.100904,1.68083,tracked,0.0176158,-0.0895289,1.65458,tracked,-0.0460871,-0.24509,1.51843,tracked,-0.0991682,-0.28164,1.48647,tracked,-0.135497,-0.339239,1.44375,tracked,-0.142843,-0.257483,1.52907,tracked,-0.295816,-0.431186,1.61604,tracked,-0.300314,-0.732072,1.68174,tracked,-0.258603,-1.00014,1.82695,tracked,-0.296096,-1.06689,1.7897,inferred,-0.143625,-0.418153,1.65022,tracked,-0.0782653,-0.689123,1.63817,tracked,-0.0105921,-0.967374,1.79336,tracked,0.0186208,-0.867096,1.73604,inferred
